"docID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","replicate","comments","sampleID","DOC_mgL"
"D182",15,"CR","DeepHole","7/10/2020","10:25","Hypo",7.5,7.5,2,"","CR_DeepHole_20200710_1025_Hypo_7.5_Limno.Sample.20160505",4.99996817980467
"D191",3,"WL","DeepHole","7/15/2020","9:07","PML",0,2,1,"","WL_DeepHole_20200715_0907_PML_2_Limno.Sample.20160505",6.79980286836799
"D242",3,"WL","DeepHole","7/28/2020","10:15","Hypo",8,8,2,"","WL_DeepHole_20200728_1015_Hypo_8_Limno.Sample.20160505",6.64521583990243
"D263",15,"MO","Inlet3","8/3/2020","8:50","Surface",0,0,1,"","MO_Inlet3_20200803_0850_Surface_0_Limno.Sample.20160505",67.9463339135672
"D268",3,"FE","DeepHole","8/4/2020","10:45","Hypo",8,8,2,"","FE_DeepHole_20200804_1045_Hypo_8_Limno.Sample.20160505",18.3472085185097
"D270",3,"FE","Inlet1","8/4/2020","10:45","Surface",0,0,2,"","FE_Inlet1_20200804_1045_Surface_0_Limno.Sample.20160505",86.0060248581153
"D273",3,"WL","DeepHole","8/4/2020","8:45","Hypo",8,8,1,"","WL_DeepHole_20200804_0845_Hypo_8_Limno.Sample.20160505",6.07226232963722
"D282",15,"CR","DeepHole","8/6/2020","9:22","PML",0,3.5,2,"","CR_DeepHole_20200806_0922_PML_3.5_Limno.Sample.20160505",5.32754545441027
"D292",3,"FE","Inlet1","8/11/2020","10:45","Surface",0,0,2,"","FE_Inlet1_20200811_1045_Surface_0_Limno.Sample.20160505",80.6200164853866
"D293",3,"WL","DeepHole","8/11/2020","9:48","PML",0,1.5,1,"","WL_DeepHole_20200811_0948_PML_1.5_Limno.Sample.20160505",7.11511133119061
"D300",17,"BO","DeepHole","8/12/2020","10:55","Hypo",2,2,2,"","BO_DeepHole_20200812_1055_Hypo_2_Limno.Sample.20160505",21.6978210164419
"D338",3,"FE","Inlet1","8/20/2020","11:32","Surface",0,0,2,"","FE_Inlet1_20200820_1132_Surface_0_Limno.Sample.20160505",86.3250139644728
"D339",17,"ME","DeepHole","8/20/2020","10:54","PML",0,2,1,"","ME_DeepHole_20200820_1054_PML_2_Limno.Sample.20160505",8.45977310260533
"D349",35,"NH","DeepHole","8/24/2020","10:50","PML",0,2,1,"","NH_DeepHole_20200824_1050_PML_2_Limno.Sample.20160505",10.1639110592614
"D361",35,"HH","DeepHole","8/25/2020","11:10","PML",0,4,1,"","HH_DeepHole_20200825_1110_PML_4_Limno.Sample.20160505",8.37879894483765
"D365",35,"MI","DeepHole","8/26/2020","10:25","PML",0,0.5,1,"","MI_DeepHole_20200826_1025_PML_0.5_Limno.Sample.20160505",17.6920539692986
"D369",35,"TR","DeepHole","8/26/2020","9:15","PML",0,0.5,1,"","TR_DeepHole_20200826_0915_PML_0.5_Limno.Sample.20160505",35.5272256582181
"D377",35,"CYB","DeepHole","8/27/2020","10:15","PML",0,0.5,1,"","CYB_DeepHole_20200827_1015_PML_0.5_Limno.Sample.20160505",11.2497009020552
"D45",17,"ME","DeepHole","6/10/2020","9:36","Hypo",3.5,3.5,1,"","ME_DeepHole_20200610_0936_Hypo_3.5_Limno.Sample.20160505",14.2764167689166
