lakeID,HB,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,0,0,0,0,0,0,1
date,20200603,,filtered,0,0,0,0,0,0,1
time,1040,,chloro,0,0,0,0,0,0,2
projectID,33,,POC,0,0,0,0,0,0,1
weather,Sunny and 78F windy,,DOC,0,0,0,0,0,0,2
crew,BB and RN,,DNA,0,0,0,0,0,0,2
metadataID,Limno.Sample.20160505,,color,0,0,0,0,0,0,0
zoop tow depth,NA,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,near bottom sediment,,chloro,0,0,0,0,0,0,450
,height,units,POC,0,0,0,0,0,0,140
lake_staffGauge,NA,ft,DNA,0,0,0,0,0,0,250
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,21.6,7.3,82.8,16.6,5.24,272.1,,NA,NA,NA
7,4.4,0.14,1.4,27.3,5.12,40.1,,NA,NA,1
