lakeID,HH,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,1,1,0,0,0,0,0
date,20200825,,filtered,1,1,0,0,0,0,0
time,1110,,chloro,2,2,0,0,0,0,0
projectID,35,,POC,1,1,0,0,0,0,0
weather,sunny and warm,,DOC,2,2,0,0,0,0,0
crew,BB and CO,,DNA,0,0,0,0,0,0,0
metadataID,Limno.Sample.20160505,,color,0,0,0,0,0,0,0
zoop tow depth,NA,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,eckman & water sample at 6.5 m,,chloro,450,450,0,0,0,0,0
,height,units,POC,120,120,0,0,0,0,0
lake_staffGauge,NA,ft,DNA,0,0,0,0,0,0,0
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,24.8,7.18,86.7,67.8,8.01,,,1,NA,NA
0.25,,,,,,,,NA,NA,NA
0.5,23.6,7.2,85,68.1,8.05,,,NA,NA,NA
0.75,,,,,,,,NA,NA,NA
1,23.4,7.81,92.2,68.4,8.11,,,NA,NA,NA
1.5,23.3,7.61,89.7,68.4,8.24,,,NA,NA,NA
2,23.2,7.48,87.2,68.4,8.22,,,1,NA,NA
2.5,23.1,7.4,86.4,64.9,8.25,,,NA,NA,NA
3,22.7,7.28,84,69.5,8.27,,,NA,NA,NA
3.5,22.2,6.37,73.2,71.5,8.18,,,NA,NA,NA
4,21.4,4.63,50.2,76.4,7.88,,,1,NA,NA
4.5,19.4,0.74,8.1,89.1,7.71,,,NA,NA,NA
5.5,15.9,0.17,1.8,139.4,7.51,,,NA,1,NA
6.5,13.9,0.08,0.8,174.9,7.28,,,NA,NA,NA
