lakeID,NG,,moeties,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
site,DeepHole,,unfiltered,0,0,0,0,0,0,1
date,20200606,,filtered,0,0,0,0,0,0,1
time,1135,,chloro,0,0,0,0,0,0,2
projectID,35,,POC,0,0,0,0,0,0,1
weather,partly cloudy and 70F,,DOC,0,0,0,0,0,0,2
crew,BB and RN,,DNA,0,0,0,0,0,0,2
metadataID,Limno.Sample.20160505,,color,0,0,0,0,0,0,0
zoop tow depth,NA,,Volumes filtered,PML,Hypo,Outlet,Inlet1,Inlet2,Inlet3,point
comments,near bottom sampling,,chloro,0,0,0,0,0,0,450
,height,units,POC,0,0,0,0,0,0,140
lake_staffGauge,NA,ft,DNA,0,0,0,0,0,0,250
Inlet1_staffGauge,NA,cm,,,,,,,,
Inlet2_staffGauge,NA,cm,,,,,,,,
Inlet3_staffGauge,NA,cm,,,,,,,,
Outlet_staffGauge,NA,cm,,,,,,,,
depth,temp,DOmgL,Dosat,SpC,pH,ORP,PAR,PML,Hypo,point
0,18.6,6.32,67.9,31.1,4.12,,,NA,NA,NA
5.5,4.1,0.87,6.7,34.1,4.23,,,NA,NA,1
